id,parents,battery,load,dataProbability
2,1,11632.895336000001,10.0,85.0
3,1,11545.659036727271,10.0,100.0
4,1,11556.957073454547,10.0,100.0
5,1,5746.757705181819,10.0,100.0
6,1,11832.015170272729,10.0,100.0
7,2,11708.11522709091,10.0,100.0
8,1,11838.880893818183,10.0,85.0
9,1,5701.457355454546,10.0,100.0
10,2,11875.487589818182,10.0,100.0
11,1,11839.291851454545,10.0,100.0
12,2,11657.860017818182,10.0,100.0
13,1,11873.65258090909,10.0,100.0
14,1,11859.685732363636,10.0,85.0
15,1,11855.840645999999,10.0,100.0
16,1,116867.25168,200.0,100.0
